,id,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,instant_bookable,reviews_per_month,price_in_euros,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
135,985155,0.33,f,0,0,Centrum-Oost,52.37042,4.91535,Entire home/apt,3,2,2,6,$150.00,6,35,t,0,0,0,0,33,1,0,4.67,f,0.33,,$50,$900,9%,16%,19%,$4.99,0.0,750.0
136,989222,0.28,f,1,1,De Pijp - Rivierenbuurt,52.35082,4.8877,Entire home/apt,2,1,1,11,$190.00,6,21,t,0,0,0,55,33,2,2,4.72,f,0.3,,$95,$1140,7%,11%,20%,$4.99,0.1506849315068493,950.0
137,995087,1.0,t,1,1,Westerpark,52.381615,4.877059,Private room,2,1,2,1,$73.00,3,28,t,5,6,6,150,370,36,5,4.51,t,3.56,,$36.5,$219,6%,10%,15%,$2.99,0.410958904109589,404.64383561643837
138,1005695,,f,1,1,Oud-Oost,52.35781,4.91027,Private room,2,1,1,5,$129.00,3,1125,t,0,0,0,247,47,0,0,4.8,f,0.42,,$64.5,$387,8%,16%,19%,$4.99,0.6767123287671233,645.0
139,1008006,0.97,f,2,2,Westerpark,52.37998,4.86959,Private room,2,1,1,5,$123.00,3,30,t,2,4,14,256,120,10,1,4.79,f,1.45,,$61.5,$369,5%,17%,20%,$4.99,0.7013698630136986,615.5890410958904
140,1018639,0.2,f,2,2,Centrum-Oost,52.36181,4.88783,Private room,2,1,2,7,$136.00,3,1125,t,0,0,0,0,41,0,0,4.61,f,0.37,,$68,$408,7%,18%,19%,$4.99,0.0,681.986301369863
141,1020477,0.64,f,1,1,Centrum-West,52.37811,4.89196,Entire home/apt,2,1,1,13,$307.00,5,8,t,4,12,12,12,32,4,0,4.91,f,0.29,,$153.5,$1535,13%,24%,16%,$4.99,0.03287671232876712,1723.2876712328766
142,1021538,0.5,f,1,1,Slotervaart,52.35166,4.83893,Entire home/apt,5,3,3,9,$249.00,7,20,t,0,3,7,44,7,1,0,5.0,f,0.1,,$49.8,$1743,10%,24%,19%,$4.99,0.12054794520547946,1245.0
143,1036888,0.09,f,1,1,Westerpark,52.38624,4.87244,Entire home/apt,2,1,1,6,$148.00,3,7,t,1,1,1,125,65,0,0,4.81,f,0.59,,$74,$444,7%,14%,21%,$4.99,0.3424657534246575,705.0
144,1037485,,f,1,1,De Baarsjes - Oud-West,52.36926,4.86997,Entire home/apt,4,2,2,15,$295.00,4,1125,t,0,0,0,0,16,0,0,4.94,f,0.15,,$73.75,$1180,13%,9%,28%,$4.99,0.0,1475.0
145,1041309,0.72,f,1,1,Zuid,52.3543,4.88103,Entire home/apt,2,1,2,5,$143.00,4,45,t,1,3,3,3,52,2,0,4.94,f,0.47,,$71.5,$572,6%,12%,15%,$4.99,0.00821917808219178,753.013698630137
